Symbol,Probability,Information,Entropy,Maximum Entropy
192.168.0.184,0.091152815,3.455568979,1.9149486746,3.5849625007
192.168.0.151,0.0017873101,9.127994321,,
169.254.148.1,0.0035746202,8.127994321,,
192.168.0.105,0.0116175156,6.4275546028,,
192.168.0.104,0.000893655,10.127994321,,
192.168.0.1,0.5933869526,0.7529548896,,
192.168.0.100,0.0107238606,6.5430318203,,
192.168.0.110,0.0017873101,9.127994321,,
192.168.0.102,0.1706881144,2.5505654929,,
192.168.0.109,0.0607685433,4.0405314797,,
192.168.0.108,0.0464700626,4.4275546028,,
192.168.0.119,0.0071492404,7.127994321,,
